Incident_year,Incident_month,State,Latitude,Longitude,Victim_injury,Provoked_unprovoked,Victim_activity,Shark_common_name,Victim_gender
1791,1,NSW,-33.86666667,151.2,fatal,unprovoked,swimming,white shark,female
1803,3,WA,-25.83333333,113.8833333,injured,unprovoked,swimming,tiger shark,male
1807,1,NSW,-33.86666667,151.2,injured,unprovoked,swimming,bull shark,male
1820,1,TAS,-42.8,147.5333333,fatal,provoked,swimming,Unknown,male
1825,1,NSW,-33.85,151.2166667,injured,unprovoked,swimming,bull shark,male
1830,1,TAS,-43.28333333,147.3333333,injured,unprovoked,swimming,white shark,female
1832,1,NSW,-33.86666667,151.1833333,injured,provoked,swimming,bull shark,male
1832,6,NSW,-33.83333333,151.2666667,injured,provoked,fishing,white shark,female
1836,1,SA,-34.95,138.5,injured,unprovoked,swimming,white shark,male
1836,8,QLD,-25.48333333,152.9833333,fatal,unprovoked,swimming,whaler shark,male
1836,8,QLD,-25.48333333,152.9833333,fatal,unprovoked,swimming,whaler shark,male
1837,1,NSW,-30.93333333,153.0166667,fatal,unprovoked,swimming,bull shark,male
1839,8,VIC,-38.98333333,146.45,fatal,provoked,swimming,white shark,male
1840,12,NSW,-33.85,151.2166667,fatal,unprovoked,swimming,bull shark,male
1841,4,NSW,-33.83333333,151.1666667,fatal,unprovoked,swimming,bull shark,male
1847,3,QLD,-27.25,153.25,injured,unprovoked,swimming,bull shark,male
1847,11,QLD,-27.43333333,153.0833333,injured,unprovoked,swimming,bull shark,male
1849,1,WA,-33.36666667,115.2833333,fatal,provoked,swimming,white shark,male
1849,12,VIC,-38.33333333,141.6,injured,unprovoked,swimming,white shark,male
1849,12,NSW,-33.81666667,151.2,fatal,unprovoked,swimming,bull shark,male
1850,1,QLD,-27.28333333,153.2166667,fatal,unprovoked,swimming,tiger shark,male
1850,3,NSW,-29.41666667,153.3333333,injured,unprovoked,swimming,whaler shark,male
1853,11,NSW,-33.85,151.2166667,injured,provoked,swimming,wobbegong,male
1855,1,QLD,-25.5,152.7166667,injured,unprovoked,swimming,bull shark,female
1855,1,NSW,-33.85,151.2166667,uninjured,unprovoked,swimming,bull shark,male
1855,7,QLD,-10.56666667,142.2,fatal,unprovoked,swimming,tiger shark,male
1855,11,NSW,-33.86666667,151.2,fatal,unprovoked,swimming,bull shark,male
1856,2,VIC,-38.13333333,144.4166667,injured,unprovoked,swimming,white shark,male
1856,5,SA,-35.53333333,138.6833333,injured,unprovoked,Surfing/Boarding,wobbegong,male
1858,3,VIC,-37.85,144.9,fatal,unprovoked,Spearfishing,white shark,male
1860,1,SA,-35.56666667,138.6,injured,unprovoked,Wading,white shark,male
1861,1,QLD,-27.51666667,153.2666667,injured,unprovoked,Diving/Snorkelling,wobbegong,male
1862,2,VIC,-37.85,144.9,injured,unprovoked,Kayaking/Paddling,white shark,male
1862,12,QLD,-27.36666667,153.15,fatal,unprovoked,Surfing/Boarding,bull shark,male
1863,1,NSW,-31.88333333,151.4666667,fatal,unprovoked,Spearfishing,bull shark,male
1863,1,QLD,-27.58333333,153.3166667,fatal,provoked,Fishing,tiger shark,male
1863,3,VIC,-37.9,144.9833333,injured,unprovoked,Diving/Snorkelling,white shark,male
1863,4,QLD,-26.8,153.1333333,fatal,unprovoked,Surfing/Boarding,tiger shark,male
1865,11,VIC,-37.86666667,144.8666667,fatal,unprovoked,Surfing/Boarding,white shark,male
1868,1,QLD,-23.08333333,150.7333333,injured,unprovoked,Diving/Snorkelling,tiger shark,male
1869,1,QLD,-27.46666667,153,injured,unprovoked,Surfing/Boarding,bull shark,male
1869,3,SA,-34.13333333,137.45,injured,provoked,Other,broadnose sevengill shark,male
1870,1,QLD,-27.46666667,153.0166667,injured,unprovoked,Swimming,bull shark,male
1870,5,QLD,-27.08333333,153.4,injured,provoked,Surfing/Boarding,whaler shark,male
1872,1,QLD,-25.8,153.0166667,injured,unprovoked,Swimming,Unknown,male
1873,2,SA,-34.83333333,138.4666667,uninjured,unprovoked,Spearfishing,white shark,male
1874,1,NSW,-33.86666667,151.2,injured,unprovoked,Surfing/Boarding,bull shark,male
1874,11,QLD,-25.5,152.7166667,injured,unprovoked,Swimming,bull shark,male
1874,11,NSW,-33,151.7166667,injured,provoked,Swimming,wobbegong,male
1875,7,NSW,-29.41666667,153.3333333,injured,unprovoked,Swimming,tiger shark,male
1875,10,QLD,-10.25,142.1166667,fatal,provoked,Diving/Snorkelling,tiger shark,male
1875,11,NSW,-29.4,153.3333333,injured,provoked,Surfing/Boarding,white shark,male
1875,12,NSW,-29.4,153.3333333,injured,unprovoked,Other,bull shark,male
1876,1,WA,-20.7,117.25,injured,provoked,Swimming,bull shark,male
1876,1,VIC,-37.86666667,144.9666667,injured,unprovoked,Other,white shark,male
1876,2,QLD,-10.25,142.1166667,fatal,provoked,Fishing,tiger shark,male
1876,2,VIC,-37.85,144.95,fatal,unprovoked,Surfing/Boarding,white shark,male
1876,7,NSW,-33.85,151.2,uninjured,provoked,Surfing/Boarding,whaler shark,male
1876,12,NSW,-32.76666667,151.7,injured,unprovoked,Swimming,bull shark,male
1877,1,VIC,-37.83333333,144.9333333,fatal,unprovoked,Kayaking/Paddling,white shark,male
1877,1,VIC,-38.38333333,142.4833333,injured,unprovoked,Surfing/Boarding,white shark,female
1877,3,VIC,-38.1,144.65,injured,unprovoked,Spearfishing,white shark,male
1877,12,NSW,-33.86666667,151.2,injured,unprovoked,Surfing/Boarding,bull shark,male
1877,12,SA,-34.73333333,138.0333333,injured,provoked,Surfing/Boarding,Unknown,male
1878,1,QLD,-9.633333333,142.6833333,injured,provoked,Diving/Snorkelling,tiger shark,male
1878,3,VIC,-38.38333333,142.5,injured,unprovoked,Swimming,whaler shark,male
1878,7,QLD,-25.8,153.05,injured,provoked,Spearfishing,bull shark,male
1878,11,NSW,-33.85,151.15,injured,unprovoked,Surfing/Boarding,wobbegong,male
1879,6,NSW,-33.86666667,151.2,fatal,unprovoked,Other,bull shark,male
1879,11,NSW,-29.4,153.3333333,injured,unprovoked,Spearfishing,white shark,male
1880,1,QLD,-16.9,145.9833333,fatal,unprovoked,Fishing,tiger shark,male
1880,1,NSW,-33.08333333,151.5,injured,unprovoked,Swimming,bull shark,female
1880,1,QLD,-27.51666667,152.9,injured,unprovoked,Surfing/Boarding,bull shark,male
1880,11,QLD,-27.46666667,153.0333333,fatal,unprovoked,Spearfishing,bull shark,male
1881,1,NSW,-31.06666667,152.6333333,uninjured,unprovoked,Other,bull shark,female
1881,1,QLD,-25.25,152.85,injured,unprovoked,Swimming,tiger shark,female
1881,8,QLD,-20,148.8,injured,provoked,Other,tiger shark,male
1881,11,NSW,-33.86666667,151.2333333,fatal,unprovoked,Other,bull shark,male
1881,12,QLD,-24.83333333,152.1166667,injured,unprovoked,Kayaking/Paddling,bull shark,male
1882,1,WA,-17.98333333,122.2333333,injured,provoked,Kayaking/Paddling,tiger shark,male
1882,4,NSW,-33.08333333,151.65,fatal,unprovoked,Swimming,white shark,male
1882,5,NSW,-33.85,151.2,injured,unprovoked,Diving/Snorkelling,wobbegong,male
1882,5,WA,-15.88333333,122,fatal,provoked,Diving/Snorkelling,tiger shark,male
1882,12,WA,-17.98333333,122.2333333,fatal,provoked,Surfing/Boarding,tiger shark,male
1883,1,NSW,-33.85,151.15,fatal,unprovoked,Swimming,bull shark,male
1883,12,NSW,-33.86666667,151.2,fatal,unprovoked,Swimming,bull shark,male
1883,12,NSW,-33.8,151.2833333,uninjured,provoked,Surfing/Boarding,bull shark,male
1884,1,SA,-33.18333333,137.9833333,fatal,unprovoked,Surfing/Boarding,white shark,female
1885,10,NSW,-33.81666667,151.05,uninjured,unprovoked,Swimming,bull shark,female
1885,11,WA,-33.31666667,115.6333333,injured,unprovoked,Other,white shark,male
1886,1,QLD,-25.53333333,152.7,uninjured,unprovoked,Wading,bull shark,male
1886,4,QLD,-23.38333333,150.6333333,injured,unprovoked,Surfing/Boarding,bull shark,male
1887,2,NSW,-33.8,151.2833333,uninjured,unprovoked,Swimming,whaler shark,male
1887,12,NSW,-33.81666667,151.0833333,fatal,unprovoked,Surfing/Boarding,bull shark,male
1888,9,QLD,-19.85,145.4,injured,provoked,Diving/Snorkelling,tiger shark,male
1888,12,NSW,-33.85,151.15,fatal,unprovoked,Swimming,bull shark,male
1889,7,VIC,-38.33333333,144.6166667,fatal,unprovoked,Swimming,white shark,male
1890,1,TAS,-42.73333333,147.2333333,injured,unprovoked,Swimming,broadnose sevengill shark,male
1891,4,NSW,-36.71666667,149.9833333,uninjured,provoked,Surfing/Boarding,wobbegong,male
1891,6,VIC,-38.33333333,144.3166667,injured,provoked,Swimming,wobbegong,male
1892,1,QLD,-10.11666667,142.1333333,fatal,provoked,Diving/Snorkelling,tiger shark,male
1892,3,QLD,-23.36666667,150.5,injured,unprovoked,Surfing/Boarding,bull shark,male
1892,11,QLD,-27.45,153.2166667,injured,unprovoked,Swimming,whaler shark,female
1892,12,QLD,-27.43333333,153.0833333,injured,unprovoked,Spearfishing,bull shark,male
1893,1,WA,-28.76666667,114.6,uninjured,provoked,Swimming,wobbegong,male
1893,1,QLD,-13.93333333,143.7333333,fatal,unprovoked,Kayaking/Paddling,tiger shark,male
1893,4,QLD,-9.816666667,142.7,injured,unprovoked,Swimming,tiger shark,male
1894,11,NSW,-32.91666667,151.7833333,injured,unprovoked,Diving/Snorkelling,white shark,male
1895,1,QLD,-27.46666667,153,uninjured,unprovoked,Diving/Snorkelling,bull shark,male
1895,2,NSW,-33.93333333,151.25,fatal,unprovoked,Swimming,bull shark,male
1895,3,QLD,-24.9,152.2333333,injured,unprovoked,Swimming,bull shark,male
1895,6,WA,-20.78333333,115.5333333,fatal,provoked,Swimming,tiger shark,male
1895,11,NSW,-35.13333333,150.75,fatal,provoked,Surfing/Boarding,whaler shark,male
1895,12,QLD,-10.56666667,142.2166667,uninjured,provoked,Spearfishing,tiger shark,male
1895,12,NSW,-33.85,151.15,fatal,unprovoked,Fishing,bull shark,male
1896,1,NSW,-33.86666667,151.1833333,fatal,unprovoked,Surfing/Boarding,bull shark,male
