Region,Council,Swim site,Year,Annual grade,Latitude,Longitude
Port Stephens,Port Stephens Council,One Mile Beach,2025,Very Good,-32.779284000,152.116518000
Eurobodalla Coast,Eurobodalla Shire Council,Shelley Beach (Moruya Heads),2025,Good,-35.908620000,150.156328000
Shoalhaven Coast,Shoalhaven City Council,Rennies Beach,2025,Very Good,-35.368093000,150.479441000
Sydney Harbour,North Sydney Council,Hayes Street Beach,2025,Good,-33.841715000,151.219382000
Northern Sydney,Northern Beaches Council,Queenscliff Beach,2025,Good,-33.786890000,151.288740000
Central Coast South,Central Coast Council,Wamberal Beach,2025,Good,-33.430301000,151.448191000
Northern Sydney,Northern Beaches Council,North Steyne Beach,2025,Good,-33.790990000,151.288010000
Lake Macquarie,Lake Macquarie City Council,Dudley Beach,2025,Very Good,-32.974078000,151.729925000
Ballina,Ballina Shire Council,Shaws Bay West,2025,Poor,-28.865433330,153.582600000
Western Sydney,Blue Mountains City Council,Wentworth Falls Lake - Beach,2025,Poor,-33.702590000,150.369342000
Central Coast South,Central Coast Council,Avoca Lagoon (Bulbararing),2025,Poor,-33.464020000,151.434430000
Illawarra Coast,Wollongong City Council,Fishermans Beach,2025,Very Good,-34.488283000,150.916662000
Sydney Harbour,Northern Beaches Council,Little Manly Cove,2025,Good,-33.807232000,151.286808000
Pittwater,Northern Beaches Council,The Basin,2025,Very Good,-33.604105000,151.293749000
Port Stephens,Port Stephens Council,Fingal Beach,2025,Very Good,-32.743489000,152.171530000
Shoalhaven Coast,Shoalhaven City Council,Cudmirrah Beach,2025,Very Good,-35.189293000,150.583306000
Newcastle,Newcastle City Council,Burwood North Beach,2025,Very Good,-32.957057000,151.745275000
Pittwater,Northern Beaches Council,Great Mackerel Beach,2025,Very Good,-33.590483000,151.301506000
Eurobodalla Coast,Eurobodalla Shire Council,Malua Bay Beach,2025,Very Good,-35.793957000,150.230525000
Bellingen,Bellingen Shire Council,North Beach,2025,Good,-30.467876000,153.045913000
Port Stephens,Port Stephens Council,Zenith Beach,2025,Very Good,-32.719368000,152.184946000
Eurobodalla Coast,Eurobodalla Shire Council,Wagonga Inlet,2025,Good,-36.209568000,150.131444000
Central Coast North,Central Coast Council,Frazer Beach,2025,Very Good,-33.187516670,151.623283300
Illawarra Coast,The Council of the Municipality of Kiama,Surf Beach Kiama,2025,Good,-34.676160000,150.854824000
Botany Bay,Bayside Council,Dolls Point Baths,2025,Poor,-33.997622000,151.144673000
Central Coast North,Central Coast Council,Cabbage Tree Bay,2025,Good,-33.279100000,151.568500000
Pittwater,Northern Beaches Council,Barrenjoey Beach,2025,Good,-33.586759000,151.324262000
Northern Sydney,Northern Beaches Council,North Curl Curl Beach,2025,Good,-33.767605000,151.298194000
Port Hacking,Sutherland Shire Council,Horderns Beach,2025,Good,-34.083401000,151.150439000
Western Sydney,Hawkesbury City Council,Yarramundi Reserve,2025,Poor,-33.609122600,150.697886200
Central Coast South,Central Coast Council,Cockrone Lagoon,2025,Poor,-33.492700000,151.427176000
Illawarra Coast,Wollongong City Council,Woonona Beach,2025,Very Good,-34.349072000,150.921255000
Northern Sydney,Northern Beaches Council,Long Reef Beach,2025,Good,-33.745250000,151.305930000
Ballina,Ballina Shire Council,Lighthouse Beach (Ballina),2025,Very Good,-28.868733330,153.592250000
Central Coast North,Central Coast Council,North Shelly Beach,2025,Very Good,-33.367180000,151.494010000
Southern Sydney,Sutherland Shire Council,South Cronulla Beach,2025,Good,-34.055497000,151.155347000
Eurobodalla Coast,Eurobodalla Shire Council,Dalmeny Beach (previously Brou Beach),2025,Very Good,-36.161260000,150.125980000
Sydney Harbour,Woollahra Municipal Council,Rose Bay Beach,2025,Poor,-33.870027000,151.265932000
Clarence Valley,Clarence Valley Council,Main Beach (Brooms Head),2025,Follow up,-29.602103000,153.333025000
Central Coast North,Central Coast Council,Gravelly Beach,2025,Very Good,-33.285953000,151.571413000
Georges River,Georges River Council,Oatley Bay Baths,2025,Good,-33.987645000,151.083994000
Central Coast North,Central Coast Council,Canton Beach,2025,Poor,-33.272530000,151.544070000
Shoalhaven Coast,Shoalhaven City Council,Tilbury Cove,2025,Very Good,-34.930833000,150.772608000
Botany Bay,Bayside Council,Foreshores Beach,2025,Very Poor,-33.957947000,151.197963000
Clarence Valley,Clarence Valley Council,Whiting Beach,2025,Follow up,-29.432056000,153.360403000
Sydney Harbour,City of Canada Bay Council,Cabarita Beach,2025,Good,-33.841448000,151.118630000
Sydney Harbour,Northern Beaches Council,Manly Cove,2025,Good,-33.799440000,151.282519000
Central Coast North,Central Coast Council,Hargraves Beach,2025,Very Good,-33.265633330,151.562233300
Western Sydney,Blue Mountains City Council,Wentworth Falls Lake - Jetty,2025,Poor,-33.704703000,150.370196000
Sydney Harbour,Lane Cove Council,Woodford Bay,2025,Good,-33.831968000,151.172540000
Georges River,Sutherland Shire Council,Como Baths,2025,Poor,-33.996858000,151.070646000
Illawarra Coast,Wollongong City Council,Bulli Beach,2025,Good,-34.340349000,150.925579000
Central Coast North,Central Coast Council,The Entrance Beach,2025,Good,-33.348090000,151.503330000
Clarence Valley,Clarence Valley Council,Spooky Beach,2025,Follow up,-29.478053000,153.361047000
Sydney City,Waverley Council,Bondi Beach,2025,Good,-33.891157000,151.278267000
Lake Macquarie,Lake Macquarie City Council,Caves Beach,2025,Very Good,-33.109819000,151.647849000
Illawarra Coast,Wollongong City Council,Stanwell Park Beach,2025,Very Good,-34.231267000,150.989333000
Sydney Harbour,Northern Beaches Council,Clontarf Pool,2025,Fair,-33.805790000,151.251720000
Central Coast North,Central Coast Council,The Entrance Ocean Baths,2025,Very Good,-33.350049000,151.503530000
Richmond Valley,Richmond Valley Council,Shark Bay,2025,Good,-29.114200000,153.437400000
Botany Bay,Bayside Council,Kyeemagh Baths,2025,Poor,-33.951872000,151.165512000
Illawarra Coast,The Council of the Municipality of Kiama,Bombo Beach,2025,Very Good,-34.655327000,150.856277000
Central Coast North,Central Coast Council,Birdie Beach,2025,Very Good,-33.205666670,151.606883300
Sydney City,Randwick City Council,South Maroubra Rockpool,2025,Good,-33.953515000,151.258009000
Clarence Valley,Clarence Valley Council,Prince Street Wharf,2025,Follow up,-29.693606000,152.931372000
Port Hacking,Sutherland Shire Council,Gymea Bay Baths,2025,Very Poor,-34.049860000,151.093246000
Sydney City,Randwick City Council,Gordons Bay (East),2025,Good,-33.915646000,151.264558000
Illawarra Coast,Wollongong City Council,North Wollongong Beach,2025,Good,-34.414273000,150.901964000
Central Coast South,Central Coast Council,Yattalunga Baths,2025,Poor,-33.468700000,151.359000000
Sydney Harbour,Woollahra Municipal Council,Murray Rose Pool,2025,Poor,-33.871276000,151.246974000
Sydney Harbour,Lane Cove Council,Tambourine Bay,2025,Good,-33.828066000,151.161315000
Pittwater,Northern Beaches Council,Elvina Bay,2025,Very Good,-33.639078000,151.278198000
Central Coast North,Central Coast Council,North Entrance Beach,2025,Very Good,-33.334569000,151.507287000
Botany Bay,Bayside Council,Monterey Baths,2025,Good,-33.975036000,151.151707000
Lake Macquarie,Lake Macquarie City Council,Blacksmiths Beach,2025,Very Good,-33.080115000,151.658277000
Central Coast South,Central Coast Council,Davistown Baths,2025,Poor,-33.490097000,151.364100000
Illawarra Coast,Wollongong City Council,Austinmer Beach,2025,Very Good,-34.306617000,150.935548000
Ballina,Ballina Shire Council,Lake Ainsworth West,2025,Poor,-28.784979000,153.590770000
Richmond Valley,Richmond Valley Council,Evans River,2025,Poor,-29.117200000,153.433900000
Central Coast North,Central Coast Council,Soldiers Beach,2025,Very Good,-33.290045000,151.567841000
Ballina,Ballina Shire Council,The Serpentine,2025,Good,-28.867266670,153.577420000
Sydney Harbour,Mosman Municipal Council,Chinamans Beach,2025,Good,-33.814094000,151.248971000
Bellingen,Bellingen Shire Council,Urunga Lido,2025,Good,-30.497253000,153.024189000
Eurobodalla Coast,Eurobodalla Shire Council,Cookies Beach,2025,Very Good,-35.665021000,150.298530000
Sydney Harbour,The City of Sydney,Marrinawi Cove,2025,Good,-33.855397000,151.201952000
